"ID","lon","lat"
"g1",-102.0666667,20.16666667
"g1",-101.9333333,20.1
"g1",-101.4833333,20.08333333
"g1",-102.0333333,20.16666667
"g1",-101.4833333,20.08333333
"g1",-101.4666667,20.03333333
"g1",-101.2333333,20.05
"g1",-101.1833333,20.06666667
"g1",-101.15,20
"g1",-101.2833333,19.98333333
"g1",-102.1,20.15
"g1",-102.0333333,20.18333333
"g1",-102.0833333,20.15
"g1",-101.45,20.11666667
"g1",-101.15,20.01666667
"g1",-101.9333333,20.1
"g1",-101.1666667,20.15
"g1",-102.1,20.2
"g1",-102.0833333,20.16666667
"g1",-102.05,20.15
"g1",-101.1666667,20.15
"g1",-101.1775,20.05416667
"g1",-101.2891667,19.99416667
"g1",-101.4694444,20.18944444
"g1",-101.9477778,20.24
"g1",-101.1575,20.02638889
"g1",-101.17,20.02416667
"g1",-101.4344444,20.09555556
"g1",-101.4344444,20.09555556
"g1",-101.2025,19.97166667
"g1",-102.0869444,20.16083333
"g1",-102.0875,20.14055556
"g1",-102.0875,20.14055556
"g1",-101.9591667,20.11194444
"g1",-102.0684444444,20.1393888889
"g1",-102.37,20.17
"g1",-101.4341666667,20.1338055556
"g1",-101.49,20.11
"g1",-100.8848888889,19.9917222222
"g1",-100.8496666667,19.9581944444
"g1",-100.9599166667,19.9828055556
"g1",-101.0881111111,20.0531944444
"g1",-101.3730833333,20.1607222222
"g1",-101.2354166667,19.9646111111
"g1",-102.0898333333,20.7195555556
"g1",-102.0684444444,20.1393888889
"g1",-102.37,20.17
"g1",-101.4341666667,20.1338055556
"g1",-101.49,20.11
"g1",-100.8848888889,19.9917222222
"g1",-100.8496666667,19.9581944444
"g1",-100.9599166667,19.9828055556
"g1",-101.0881111111,20.0531944444
"g1",-101.3730833333,20.1607222222
"g1",-101.2354166667,19.9646111111
"g1",-102.0898333333,20.7195555556
"g2",-98.88333333,19.25
"g2",-98.85,19.25
"g2",-98.78333333,19.16666667
"g2",-98.76666667,19.13333333
"g2",-98.76666667,19.16666667
